Nom image;V3;V2;V1;delta V2-V1;delta V3-V1;delta V3-V2;;;moyenne In;moyenne Sc;;V4 ;V5 ;V6 filtre avant top;V7 filtre apres top;;;V8;V309
In_186 ;64,06;68,63;52,2;16,43;11,86;-4,57;;;;;;50,19;64,06;27,76;65,18;;;64,06;64,06
In_187 ;56,53;67,55;62,98;4,57;-6,45;-11,02;;;;;;45,48;56,53;63,09;53,64;;;56,53;56,53
In_188 ;53,26;66,56;61,81;4,75;-8,55;-13,3;;;;;;42,71;53,26;58,68;52,15;;;53,26;53,26
In_189 ;52,55;59,72;58,99;0,73;-6,44;-7,17;;;;;;51,29;52,55;54,74;52,57;;;52,55;52,55
In_190 ;79,45;47,91;68,19;-20,28;11,26;31,54;;;;;;80,65;79,45;80,05;81,02;;;79,45;79,45
In_191 ;49,9;36,65;28,6;8,05;21,3;13,25;;;;;;50,9;49,9;37,86;49,94;;;49,9;49,9
In_192 ;78,86;75,28;75,28;0;3,58;3,58;;;;;;75,19;78,86;76,84;78,13;;;78,86;78,86
In_193 ;82,65;73,57;72,04;1,53;10,61;9,08;;;;;;76,15;82,65;82,63;81,89;;;82,65;82,65
In_194 ;23,84;16,56;34,33;-17,77;-10,49;7,28;;;;;;18,25;23,84;0;23,81;;;23,84;23,84
In_195 ;56,48;0;20,62;-20,62;35,86;56,48;;;;;;30,68;56,48;0;61,55;;;56,48;56,48
In_196 ;67,93;74,65;29,46;45,19;38,47;-6,72;;;;;;56,63;67,93;73,43;64,78;;;67,93;67,93
In_197 ;0;71,47;51,72;19,75;-51,72;-71,47;;;;;;0;0;0;0;;;0;64
In_198 ;78,37;7,03;62,38;-55,35;15,99;71,34;;;;;;74,49;78,37;82,38;77,66;;;78,37;78,37
In_199 ;84,8;82,92;71,29;11,63;13,51;1,88;;;;;;81,27;84,8;86,94;86,07;;;84,8;84,8
In_200 ;77,29;0;70,36;-70,36;6,93;77,29;;;;;;81,37;77,29;78,25;76,74;;;77,29;77,29
In_201 ;75,63;71,2;66,99;4,21;8,64;4,43;;;;;;64,75;75,63;87,56;74,74;;;75,63;75,63
In_202 ;69,97;74,11;67,34;6,77;2,63;-4,14;;;;;;60,46;69,97;84,25;68,82;;;69,97;69,97
In_203 ;75,64;80,94;71,22;9,72;4,42;-5,3;;;;;;69,8;75,64;0;74,52;;;75,64;75,64
In_204 ;50,99;63,6;11,81;51,79;39,18;-12,61;;;;;;0;50,99;0;0;;;50,99;50,99
In_205 ;80,58;69,08;67,85;1,23;12,73;11,5;;;;;;74,8;80,58;0;79,65;;;80,58;80,58
In_206 ;22,08;68;14,14;53,86;7,94;-45,92;;;;;;0;22,08;0;48,27;;;22,08;22,08
In_207 ;22,36;40;3,09;36,91;19,27;-17,64;;;;;;0;22,36;60,34;0;;;22,36;22,36
In_208 ;58,75;67,67;48,27;19,4;10,48;-8,92;;;;;;56,25;58,75;63,27;58,39;;;58,75;58,75
In_209 ;72,2;73,27;64,35;8,92;7,85;-1,07;;;;;;66,51;72,2;68,58;70,26;;;72,2;72,2
In_210 ;56,65;73,59;69,47;4,12;-12,82;-16,94;;;;;;51,14;56,65;70,38;55,22;;;56,65;56,65
In_211 ;70,65;69,4;69,4;0;1,25;1,25;;;;;;48,87;70,65;60,48;67,08;;;70,65;70,65
In_212 ;63,74;77,61;18,51;59,1;45,23;-13,87;;;;;;0;63,74;83,73;51,44;;;63,74;63,74
In_213 ;64,77;71,14;26,4;44,74;38,37;-6,37;;;;;;58,75;64,77;71,8;62,14;;;64,77;64,77
In_214 ;53,8;70,89;18,4;52,49;35,4;-17,09;;;;;;0;53,8;0;0;;;53,8;53,8
In_215 ;0;64,49;56,41;8,08;-56,41;-64,49;;;;;;38,57;0;0;0;;;0;58,12
In_216 ;82,18;0;55,94;-55,94;26,24;82,18;;;;;;62,07;82,18;0;70,35;;;82,18;82,18
In_217 ;72,21;0;63,1;-63,1;9,11;72,21;;;;;;60;72,21;0;78,7;;;72,21;72,21
In_218 ;55,93;68,44;23,6;44,84;32,33;-12,51;;;;;;0;55,93;0;53,16;;;55,93;55,93
In_219 ;39,61;58,73;4,49;54,24;35,12;-19,12;;;;;;0;39,61;0;0;;;39,61;39,61
In_220 ;83,09;81,81;78,84;2,97;4,25;1,28;;;;;;79,41;83,09;84,78;82,63;;;83,09;83,09
In_221 ;79,44;69,76;77,09;-7,33;2,35;9,68;;;;;;75,57;79,44;81,45;78,79;;;79,44;79,44
In_222 ;74,52;0;11,16;-11,16;63,36;74,52;;;;;;0;74,52;72,77;0;;;74,52;74,52
In_223 ;23,72;66,61;13,51;53,1;10,21;-42,89;;;;;;0;23,72;30,54;21,1;;;23,72;23,72
In_224 ;49,85;0;31,7;-31,7;18,15;49,85;;;;;;12,79;49,85;0;0;;;49,85;49,85
In_225 ;15,85;0;8,13;-8,13;7,72;15,85;;;;;;0;15,85;0;0;;;15,85;15,85
